Date,Close,Open,High,Low,Volume
12/6/2010 16:56:00,68.6,69,69.15,68.59,134030
12/7/2010 16:56:00,68.8,69.5,69.82,68.76,285930
12/8/2010 16:56:00,67.35,68.8,69.29,67.33,403570
12/9/2010 16:56:00,67.22,67.52,67.84,66.84,261250
12/10/2010 16:56:00,67.89,67.6,67.89,67.18,269140
12/13/2010 16:56:00,68.7,68.31,68.7,68.09,265710
12/14/2010 16:56:00,68.09,68.2,68.43,67.76,518510
12/15/2010 16:56:00,66.9,67.6,67.73,66.9,822600
12/16/2010 16:56:00,66.45,67.29,67.6,66.36,1129760
12/17/2010 16:56:00,67.26,66.45,67.28,66.2,443000
12/20/2010 16:56:00,66.7,67.6,67.6,66.62,553280
12/21/2010 16:56:00,67.9,66.96,67.9,66.96,223320
12/22/2010 16:56:00,67.62,67.65,68.05,66.9,353660
12/23/2010 16:56:00,68,67.75,68,67.5,104790
12/27/2010 16:56:00,67.2,67.5,67.5,67.17,227210
12/28/2010 16:56:00,67.38,67.4,67.4,67.05,486030
12/29/2010 16:56:00,68.35,68.27,68.35,67.54,206460
12/30/2010 16:56:00,68.53,68.47,69.42,68.3,310370
1/3/2011 16:56:00,69.24,69,69.7,68.93,175500
1/4/2011 16:56:00,69.7,68.4,69.7,68.4,473790
1/5/2011 16:56:00,70.25,69.67,70.32,69,306410
1/6/2011 16:56:00,69.65,70.4,70.4,69.6,284110
1/7/2011 16:56:00,69.33,69.75,69.96,68.99,217220
1/10/2011 16:56:00,69.31,69.06,69.31,68.93,299930
1/11/2011 16:56:00,69.7,69.7,69.99,69.53,312470
1/12/2011 16:56:00,71,69.7,71,69.7,919280
1/13/2011 16:56:00,69.99,70.71,71.1,69.96,380900
1/14/2011 16:56:00,70.25,69.7,70.4,69.66,230750
1/17/2011 16:56:00,70.04,70.02,70.12,69.73,520120
1/18/2011 16:56:00,70.21,70.4,70.4,69.92,114530
1/19/2011 16:56:00,69.3,70.2,70.4,69.14,198490
1/20/2011 16:56:00,68.75,69.01,69.22,68.4,340560
1/21/2011 16:56:00,68.35,69,69.23,68.31,328400
1/24/2011 16:56:00,68.74,68.45,68.74,68,144700
1/26/2011 16:56:00,67.95,68.74,68.74,67.71,1275450
1/27/2011 16:56:00,67.3,68.25,68.4,67.05,525090
1/28/2011 16:56:00,65.94,67.3,67.35,65.14,663300
1/31/2011 16:56:00,65.78,66.21,66.44,65.56,572560
2/2/2011 16:56:00,65.97,66.93,67.31,65.85,380570
